,AAPL,MSFT,TSLA
beta,-0.0862,-0.0911,-0.0809
beta_stderr,0.0004,0.0003,0.0004
alpha,0.2681,0.2717,0.2644
alpha_stderr,0.0003,0.0002,0.0003
