tic,datadate,invt_act,npm,qqq,ccc,ivol,ccap_equity,ccap_debt,prccd,prchd,prcld,prcod
AAPL,2014-01-02,0.024,0.217,4.030390576003175,0.10816558042434621,0.01742,0.15861281540782232,0.060875079264426125,0.9859363302556059,0.9924280216647663,0.996427797833935,1.002724795640327
AAPL,2014-01-03,0.024,0.217,4.030390576003175,0.10816558042434621,0.017459,0.16016214200098466,0.060875079264426125,0.978034096866921,0.9940218659677218,0.9790026104079373,0.9949251367693638
AAPL,2014-01-06,0.024,0.217,4.030390576003175,0.10816558042434621,0.017358,0.15562119299793317,0.060875079264426125,1.0054530666568078,0.9875383781831315,0.9873619155117223,0.9721267590348371
AAPL,2014-01-07,0.024,0.217,4.030390576003175,0.10816558042434621,0.01737,0.16042326483412736,0.060875079264426125,0.9928437482764327,0.9984637893196783,1.0081053223388305,1.0127825844264582
AAPL,2014-01-08,0.024,0.217,4.030390576003175,0.10816558042434621,0.017372000000000002,0.16247188017925057,0.060875079264426125,1.0063375228572091,0.9992673455930836,1.001422131338012,0.9898772780717223
AAPL,2014-01-09,0.024,0.217,4.030390576003175,0.10816558042434621,0.017356,0.16112262176407857,0.060875079264426125,0.987228130865197,1.0023828726446222,0.9937999591601848,1.0148289749633452
AAPL,2014-01-10,0.024,0.217,4.030390576003175,0.10816558042434621,0.017354,0.1573668572038034,0.060875079264426125,0.993329220400396,0.9889185531946018,0.9920797623835319,0.9872531089978056
AAPL,2014-01-13,0.024,0.217,4.030390576003175,0.10816558042434621,0.01737,0.14464841118160424,0.060875079264426125,1.0052351108942845,1.0031434911242605,0.9976840955734216,0.9816238445436525
AAPL,2014-01-14,0.024,0.217,4.030390576003175,0.10816558042434621,0.017248,0.154041888096217,0.060875079264426125,1.0198980829895656,1.0077972350230415,1.0146825696384087,1.0156819082485706
AAPL,2014-01-15,0.024,0.217,4.030390576003175,0.10816558042434621,0.017157,0.15841686773908475,0.060875079264426125,1.0200772342099966,1.0246373895707206,1.0260387605549977,1.0284270372710043
AAPL,2014-01-16,0.024,0.217,4.030390576003175,0.10816558042434621,0.016958,0.1602659120682674,0.060875079264426125,0.9944201234390698,0.9940199928596929,1.0000362542145524,1.002493134846076
AAPL,2014-01-17,0.024,0.217,4.030390576003175,0.10816558042434621,0.017003,0.1565523432933759,0.060875079264426125,0.9754984212900315,0.9914160007183264,0.9786470417633412,0.9938367273382592
AAPL,2014-01-21,0.024,0.217,4.030390576003175,0.10816558042434621,0.017019,0.15766510842725281,0.060875079264426125,1.015536279061165,0.996377270998243,1.000963141322467,0.9809784579676507
AAPL,2014-01-22,0.024,0.217,4.030390576003175,0.10816558042434621,0.017015,0.15438527509777297,0.060875079264426125,1.0044438778297848,1.013125602196084,1.0136745494245216,1.0183459953049039
AAPL,2014-01-23,0.024,0.217,4.030390576003175,0.10816558042434621,0.017,0.14546858933928755,0.060875079264426125,1.0084676615111239,0.9985824256670675,0.9945170770887719,0.998230217002623
AAPL,2014-01-24,0.024,0.217,4.030390576003175,0.10816558042434621,0.015085,0.13137047290847484,0.060875079264426125,0.9818224315868965,0.998418688230009,0.9998964769870544,1.0073826235589336
AAPL,2014-01-27,0.024,0.217,4.030390576003175,0.10816558042434621,0.015002,0.12349920750378139,0.060875079264426125,1.0081125130477777,0.9985241711961411,1.0018357044515833,0.9929061371841156
AAPL,2014-01-28,0.024,0.217,4.030390576003175,0.10816558042434621,0.015858,0.12198725283330797,0.060875079264426125,0.9200726612170754,0.9282624369142034,0.9199633531836922,0.9249004672132637
AAPL,2014-01-29,0.024,0.217,4.030390576003175,0.10816558042434621,0.015827,0.11289387767018479,0.060875079264426125,0.9886475814412635,0.9851844660194174,0.9931284482243512,0.990545640380533
AAPL,2014-01-30,0.024,0.217,4.030390576003175,0.10816558042434621,0.015837,0.12178907734374096,0.060875079264426125,0.9980668996505242,0.9982852750458245,0.9961493722674581,0.9972021033832722
