PERMNO,DATE,n,RET,b_mkt,alpha,ivol,tvol,R2,exret,TICKER
10107,08DEC2015,252,-0.0358%,1.2380,0.0007,1.3211%,1.7838%,45.1547%,0.6967%,MSFT
10107,07AUG2017,252,-0.3852%,1.0182,0.0004,0.7261%,0.9087%,36.1601%,-0.5523%,MSFT
10107,31DEC2015,252,-1.4740%,1.2373,0.0009,1.3110%,1.7768%,45.5571%,-0.3366%,MSFT
10107,26JAN2016,252,0.7337%,1.2314,0.0010,1.3225%,1.8150%,46.9089%,-1.1467%,MSFT
10107,07APR2014,252,-0.1756%,0.8705,0.0009,1.5301%,1.6658%,15.6281%,0.9254%,MSFT
10107,18FEB2016,252,-0.4388%,1.2040,0.0014,1.2326%,1.7589%,50.8917%,0.1743%,MSFT
10107,30MAY2014,252,1.4874%,0.8737,0.0002,1.4398%,1.5784%,16.7841%,1.4349%,MSFT
10107,11MAR2016,252,1.9597%,1.2113,0.0013,1.2471%,1.7896%,51.4379%,-0.0599%,MSFT
10107,11APR2014,252,-0.3836%,0.8774,0.0009,1.4859%,1.6335%,17.2522%,0.5599%,MSFT
10107,05APR2016,252,-1.5695%,1.2094,0.0014,1.2396%,1.7755%,51.2578%,-0.4299%,MSFT
10107,27JAN2020,252,-1.6723%,1.2183,0.0008,0.7322%,1.1925%,62.3009%,0.2223%,MSFT
10107,27APR2016,252,-0.9720%,1.1826,0.0004,1.1596%,1.7035%,53.6639%,-1.2209%,MSFT
10107,11MAY2016,252,0.0588%,1.1855,0.0006,1.1495%,1.6989%,54.2193%,1.1157%,MSFT
10107,19MAY2016,252,-0.9644%,1.1874,0.0006,1.1468%,1.7010%,54.5434%,-0.5738%,MSFT
10107,24MAR2015,252,0.1050%,1.0588,-0.0001,1.0381%,1.3178%,37.9395%,0.6426%,MSFT
10107,13JUN2016,252,-2.6030%,1.1890,0.0006,1.1575%,1.7103%,54.1959%,-1.6088%,MSFT
10107,31MAR2015,252,-0.7446%,1.0533,-0.0003,1.0375%,1.3194%,38.1650%,0.0489%,MSFT
10107,06JUL2016,252,0.4104%,1.1876,0.0007,1.1619%,1.7479%,55.8102%,-0.3264%,MSFT
10107,03JUN2015,252,-0.1492%,1.1163,0.0003,1.2332%,1.4903%,31.5224%,-0.5854%,MSFT
10107,28JUL2016,252,0.0356%,1.2165,0.0008,1.1555%,1.7565%,56.7221%,-0.1849%,MSFT
10107,26MAR2019,252,0.2125%,1.4345,0.0008,0.9009%,1.7313%,72.9207%,-0.8888%,MSFT
10107,11APR2019,252,0.1165%,1.3823,0.0007,0.8565%,1.6005%,71.3652%,0.1065%,MSFT
10107,04MAR2014,252,1.6676%,0.8037,0.0007,1.4997%,1.6144%,13.7080%,0.3290%,MSFT
10107,29MAY2019,252,-0.9670%,1.3582,0.0010,0.8792%,1.6146%,70.3486%,-0.0121%,MSFT
