PERMNO,DATE,n,RET,b_mkt,alpha,ivol,tvol,R2,exret,TICKER
10107,06MAR2018,252,-0.3417%,1.2542,0.0008,0.7931%,1.1355%,51.2186%,-0.7995%,MSFT
10107,25JUL2016,252,0.2828%,1.2136,0.0008,1.1608%,1.7618%,56.5871%,0.6088%,MSFT
10107,09MAY2014,252,-0.2523%,0.8931,0.0004,1.4421%,1.5863%,17.3626%,-0.4762%,MSFT
10107,05MAR2018,252,0.6341%,1.2548,0.0008,0.7916%,1.1351%,51.3635%,-0.7101%,MSFT
10107,27OCT2016,252,-0.8742%,1.1545,0.0004,0.9911%,1.4462%,53.0347%,-0.4970%,MSFT
10107,15JAN2015,252,-1.0336%,0.8720,0.0007,0.9610%,1.1729%,32.8629%,-0.0853%,MSFT
10107,19AUG2019,252,1.6749%,1.3371,0.0010,0.8876%,1.6750%,71.9163%,0.1482%,MSFT
10107,26FEB2019,252,0.6900%,1.4225,0.0007,0.9079%,1.7518%,73.1433%,0.9080%,MSFT
10107,14JAN2015,252,-0.8629%,0.8780,0.0008,0.9709%,1.1824%,32.5686%,-0.3319%,MSFT
10107,08FEB2018,252,-5.1334%,1.2537,0.0006,0.7749%,1.0874%,49.2110%,-0.6278%,MSFT
10107,21AUG2019,252,1.1147%,1.3381,0.0011,0.8842%,1.6765%,72.1818%,-0.0292%,MSFT
10107,22FEB2018,252,0.2623%,1.2740,0.0007,0.7901%,1.1246%,50.6351%,0.2436%,MSFT
10107,24OCT2016,252,2.2461%,1.1448,0.0005,1.0087%,1.4552%,51.9496%,1.6052%,MSFT
10107,21FEB2018,252,-1.3266%,1.2743,0.0007,0.7901%,1.1248%,50.6600%,-0.7889%,MSFT
10107,20OCT2016,252,-0.4867%,1.1847,0.0006,1.1158%,1.5620%,48.9717%,-0.2980%,MSFT
10107,07MAR2019,252,-1.2170%,1.4334,0.0007,0.9036%,1.7481%,73.2816%,-0.0519%,MSFT
10107,14FEB2018,252,1.5585%,1.2651,0.0006,0.7849%,1.1129%,50.2605%,-0.3789%,MSFT
10107,04AUG2016,252,0.7372%,1.2167,0.0008,1.1500%,1.7538%,56.9996%,0.6754%,MSFT
10107,14AUG2019,252,-3.0015%,1.3366,0.0010,0.8906%,1.6725%,71.6463%,0.9622%,MSFT
10107,13FEB2018,252,0.7854%,1.2706,0.0006,0.7845%,1.1094%,49.9884%,0.3851%,MSFT
10107,30APR2014,252,-0.2715%,0.8902,0.0003,1.4461%,1.5914%,17.4319%,-0.5842%,MSFT
10107,09FEB2018,252,3.7290%,1.2795,0.0006,0.7845%,1.1089%,49.9558%,2.0180%,MSFT
10107,18JUL2019,252,0.1101%,1.3746,0.0008,0.8938%,1.6412%,70.3376%,-0.3804%,MSFT
10107,12AUG2016,252,-0.6175%,1.2123,0.0008,1.1465%,1.7437%,56.7732%,-0.5458%,MSFT
10107,03FEB2014,252,-3.5941%,0.8180,0.0007,1.4948%,1.6160%,14.4370%,-1.6199%,MSFT
10107,18MAR2019,252,1.4321%,1.4322,0.0008,0.8989%,1.7432%,73.4108%,0.7650%,MSFT
10107,17OCT2016,252,-0.3483%,1.1859,0.0006,1.1156%,1.5631%,49.0588%,-0.0052%,MSFT
10107,02FEB2018,252,-2.6310%,1.2185,0.0006,0.7602%,0.9658%,38.0408%,-0.0471%,MSFT
10107,05AUG2019,252,-3.4258%,1.3468,0.0009,0.8904%,1.6429%,70.6299%,0.7262%,MSFT
10107,01FEB2018,252,-0.7894%,1.2159,0.0005,0.7614%,0.9508%,35.8823%,-0.8319%,MSFT
10107,11SEP2014,252,0.3416%,0.8178,0.0010,1.0615%,1.1967%,21.3227%,0.1860%,MSFT
10107,24APR2015,252,10.4522%,1.0771,0.0003,1.2347%,1.4724%,29.6840%,10.2705%,MSFT
10107,26MAY2015,252,-0.6610%,1.1060,0.0002,1.2353%,1.4866%,30.9539%,0.4578%,MSFT
10107,04APR2019,252,-0.5085%,1.3749,0.0006,0.8601%,1.6149%,71.6347%,-0.7809%,MSFT
10107,22MAY2015,252,-1.0966%,1.1077,0.0002,1.2354%,1.4859%,30.8717%,-0.8538%,MSFT
10107,08APR2019,252,0.0334%,1.3828,0.0006,0.8570%,1.6076%,71.5837%,-0.0868%,MSFT
10107,24JUL2019,252,1.0266%,1.3737,0.0008,0.8823%,1.6364%,70.9257%,0.1107%,MSFT
10107,10APR2019,252,0.7629%,1.3834,0.0007,0.8570%,1.6024%,71.3938%,0.0896%,MSFT
10107,05JUL2019,252,-0.2910%,1.3743,0.0009,0.8958%,1.6471%,70.4238%,-0.1625%,MSFT
10107,12APR2019,252,0.5152%,1.3790,0.0006,0.8560%,1.5969%,71.2662%,-0.3932%,MSFT
10107,17JUL2019,252,-0.5909%,1.3756,0.0008,0.8935%,1.6421%,70.3937%,0.2810%,MSFT
10107,16APR2019,252,-0.2313%,1.3786,0.0006,0.8566%,1.5952%,71.1650%,-0.4205%,MSFT
10107,11JUL2019,252,0.3990%,1.3771,0.0010,0.8962%,1.6458%,70.3497%,0.1283%,MSFT
10107,18APR2019,252,1.3140%,1.3752,0.0007,0.8621%,1.5930%,70.7106%,1.1527%,MSFT
10107,10JUL2019,252,1.0186%,1.3770,0.0010,0.8962%,1.6457%,70.3452%,0.4600%,MSFT
10107,23APR2019,252,1.3575%,1.3752,0.0007,0.8620%,1.5926%,70.7080%,0.0129%,MSFT
10107,28JUN2019,252,-0.1416%,1.3775,0.0009,0.8968%,1.6493%,70.4329%,-1.0901%,MSFT
10107,25APR2019,252,3.3117%,1.3692,0.0008,0.8874%,1.5977%,69.1538%,3.4943%,MSFT
10107,29SEP2016,252,-1.0856%,1.1782,0.0006,1.1221%,1.5749%,49.2364%,0.0649%,MSFT
10107,29APR2019,252,-0.0924%,1.3660,0.0008,0.8841%,1.5919%,69.1573%,-0.3488%,MSFT
10107,15MAY2015,252,-0.8723%,1.1053,0.0003,1.2360%,1.4876%,30.9672%,-0.9278%,MSFT
10107,01MAY2019,252,-2.0827%,1.3648,0.0008,0.8775%,1.5875%,69.4455%,-0.9579%,MSFT
10107,25JUN2019,252,-3.1572%,1.3840,0.0010,0.8924%,1.6585%,71.0510%,-1.8175%,MSFT
10107,03MAY2019,252,2.1314%,1.3649,0.0008,0.8767%,1.5888%,69.5539%,0.5801%,MSFT
10107,31JAN2018,252,2.4477%,1.2166,0.0005,0.7674%,0.9558%,35.5457%,2.5285%,MSFT
10107,07MAY2019,252,-2.0523%,1.3687,0.0008,0.8740%,1.5938%,69.9327%,0.2477%,MSFT
10107,31JAN2014,252,2.6587%,0.7929,0.0008,1.4921%,1.6019%,13.2380%,3.1945%,MSFT
10107,09MAY2019,252,-0.0080%,1.3674,0.0008,0.8729%,1.5923%,69.9443%,0.3660%,MSFT
10107,12JUN2019,252,-0.4618%,1.3789,0.0010,0.8895%,1.6470%,70.8348%,-0.1951%,MSFT
10107,13MAY2019,252,-2.9733%,1.3632,0.0009,0.8748%,1.6036%,70.2413%,0.6726%,MSFT
10107,05SEP2014,252,1.4362%,0.8465,0.0010,1.0623%,1.2073%,22.5863%,1.0566%,MSFT
10107,15MAY2019,252,1.4030%,1.3638,0.0009,0.8747%,1.6067%,70.3622%,0.5900%,MSFT
10107,31MAY2019,252,-1.6305%,1.3665,0.0010,0.8755%,1.6175%,70.7028%,0.2269%,MSFT
10107,17MAY2019,252,-0.6670%,1.3675,0.0009,0.8763%,1.6124%,70.4654%,0.3220%,MSFT
10107,15SEP2016,252,1.6530%,1.1510,0.0008,1.1253%,1.5778%,49.1287%,0.4233%,MSFT
10107,21MAY2019,252,0.5387%,1.3669,0.0009,0.8755%,1.6141%,70.5832%,-0.7026%,MSFT
10107,13SEP2016,252,-0.9115%,1.1517,0.0008,1.1258%,1.5802%,49.2419%,0.8008%,MSFT
10107,23MAY2019,252,-1.1671%,1.3618,0.0010,0.8784%,1.6148%,70.4097%,0.6933%,MSFT
10107,08MAY2015,252,2.2484%,1.0960,0.0003,1.2383%,1.4881%,30.7495%,0.9332%,MSFT
10107,28MAY2019,252,-0.0634%,1.3577,0.0010,0.8793%,1.6131%,70.2888%,0.9890%,MSFT
10107,05MAY2014,252,-0.6551%,0.8866,0.0002,1.4490%,1.5897%,16.9182%,-0.7704%,MSFT
10107,30MAY2019,252,0.6323%,1.3623,0.0009,0.8774%,1.6146%,70.4697%,0.4332%,MSFT
10107,03JUN2019,252,-3.1048%,1.3729,0.0008,0.8901%,1.6300%,70.1797%,-2.5672%,MSFT
10107,11MAY2015,252,-0.7958%,1.0980,0.0003,1.2381%,1.4890%,30.8603%,-0.3684%,MSFT
10107,11JUN2019,252,-0.3771%,1.3783,0.0010,0.8909%,1.6472%,70.7493%,-0.2207%,MSFT
10107,14SEP2016,252,-0.4776%,1.1484,0.0008,1.1253%,1.5753%,48.9701%,-0.3865%,MSFT
10107,04SEP2014,252,0.6673%,0.8434,0.0010,1.0606%,1.2047%,22.4921%,0.8077%,MSFT
10107,07SEP2016,252,0.0868%,1.1682,0.0007,1.1248%,1.5767%,49.1010%,-0.0193%,MSFT
10107,31AUG2016,252,-0.7428%,1.1838,0.0008,1.1281%,1.6085%,50.8148%,-0.4583%,MSFT
10107,06SEP2016,252,-0.1040%,1.1681,0.0007,1.1248%,1.5870%,49.7641%,-0.4096%,MSFT
10107,02SEP2016,252,0.1389%,1.1716,0.0007,1.1249%,1.5929%,50.1342%,-0.4837%,MSFT
10107,20SEP2016,252,-0.2108%,1.1493,0.0007,1.1250%,1.5718%,48.7700%,-0.1888%,MSFT
10107,02MAY2014,252,-0.7750%,0.8868,0.0003,1.4481%,1.5900%,17.0512%,-0.7128%,MSFT
10107,18JUN2019,252,1.7388%,1.3783,0.0011,0.8862%,1.6474%,71.0643%,0.2967%,MSFT
10107,02SEP2014,252,-0.7484%,0.8094,0.0007,1.1209%,1.2484%,19.3873%,-0.7970%,MSFT
10107,21SEP2016,252,1.6722%,1.1562,0.0007,1.1236%,1.5744%,49.0625%,0.3840%,MSFT
10107,27MAR2019,252,-0.9668%,1.3980,0.0007,0.8703%,1.6677%,72.7661%,-0.2586%,MSFT
10107,21JUN2019,252,0.0146%,1.3770,0.0010,0.8843%,1.6469%,71.1676%,0.2949%,MSFT
10107,08SEP2014,252,1.2198%,0.8429,0.0011,1.0652%,1.2088%,22.3518%,1.4060%,MSFT
10107,30AUG2016,252,-0.3614%,1.1897,0.0008,1.1281%,1.6278%,51.9703%,-0.1958%,MSFT
10107,26AUG2016,252,-0.2407%,1.1909,0.0008,1.1275%,1.6289%,52.0843%,-0.0633%,MSFT
10107,27SEP2016,252,1.8453%,1.1761,0.0006,1.1220%,1.5770%,49.3790%,1.1049%,MSFT
10107,01JUL2019,252,1.2840%,1.3774,0.0009,0.8968%,1.6497%,70.4517%,0.2418%,MSFT
10107,18MAY2015,252,-0.5901%,1.1020,0.0003,1.2379%,1.4879%,30.7816%,-1.0765%,MSFT
10107,10SEP2014,252,0.1711%,0.8191,0.0010,1.0625%,1.1980%,21.3459%,-0.2024%,MSFT
10107,29AUG2014,252,1.2255%,0.8099,0.0007,1.1196%,1.2477%,19.4825%,0.9094%,MSFT
10107,03OCT2016,252,-0.3125%,1.1731,0.0005,1.1223%,1.5694%,48.8636%,-0.0079%,MSFT
10107,23SEP2016,252,-0.6745%,1.1552,0.0007,1.1243%,1.5751%,49.0511%,0.0171%,MSFT
10107,30SEP2016,252,0.3484%,1.1752,0.0005,1.1225%,1.5744%,49.1691%,-0.6894%,MSFT
10107,24AUG2016,252,0.1036%,1.2043,0.0008,1.1292%,1.6720%,54.3898%,0.7821%,MSFT
10107,23AUG2016,252,0.3815%,1.2134,0.0007,1.1327%,1.6831%,54.7150%,0.0583%,MSFT
10107,04OCT2016,252,-0.3135%,1.1726,0.0005,1.1223%,1.5634%,48.4640%,0.2251%,MSFT
10107,14OCT2016,252,0.8784%,1.1867,0.0006,1.1162%,1.5640%,49.0665%,0.8656%,MSFT
10107,16JUL2019,252,-1.3103%,1.3764,0.0008,0.8937%,1.6419%,70.3743%,-0.8792%,MSFT
10107,01MAY2014,252,-0.9901%,0.8887,0.0003,1.4476%,1.5910%,17.2154%,-1.0257%,MSFT
10107,28AUG2014,252,0.0223%,0.8104,0.0007,1.1212%,1.2493%,19.4564%,0.1760%,MSFT
10107,26JUL2019,252,0.8203%,1.3664,0.0008,0.8753%,1.6273%,71.0691%,-0.3147%,MSFT
10107,05MAR2014,252,-0.7810%,0.8054,0.0006,1.5006%,1.6151%,13.6717%,-0.7891%,MSFT
10107,22JUL2019,252,1.3248%,1.3742,0.0009,0.8934%,1.6411%,70.3652%,0.9724%,MSFT
10107,18AUG2016,252,0.0695%,1.2116,0.0007,1.1451%,1.7409%,56.7354%,-0.3198%,MSFT
10107,06MAR2014,252,0.1050%,0.8060,0.0007,1.4990%,1.6137%,13.7166%,-0.0239%,MSFT
10107,17AUG2016,252,0.2089%,1.2133,0.0007,1.1451%,1.7434%,56.8583%,0.0625%,MSFT
10107,29JAN2018,252,-0.1488%,1.2280,0.0004,0.7529%,0.9451%,36.5385%,0.6061%,MSFT
10107,12OCT2016,252,-0.1399%,1.1779,0.0006,1.1177%,1.5639%,48.9231%,-0.2114%,MSFT
10107,08JAN2015,252,2.9418%,0.8985,0.0009,0.9828%,1.2027%,33.2252%,1.3423%,MSFT
10107,30JAN2018,252,-1.2564%,1.2252,0.0004,0.7528%,0.9466%,36.7503%,0.0403%,MSFT
10107,28MAR2019,252,0.1370%,1.3820,0.0008,0.8610%,1.6410%,72.4717%,-0.4312%,MSFT
10107,21MAY2015,252,-0.3363%,1.1037,0.0002,1.2359%,1.4847%,30.7026%,-0.5913%,MSFT
10107,08DEC2016,252,-0.5866%,1.1532,-0.0000,1.0213%,1.4522%,50.5417%,-1.0041%,MSFT
10107,07AUG2019,252,0.4380%,1.3483,0.0010,0.8896%,1.6467%,70.8176%,0.3367%,MSFT
10107,06FEB2018,252,3.7841%,1.2180,0.0007,0.7687%,1.0277%,44.0541%,1.8046%,MSFT
10107,02AUG2019,252,-0.8402%,1.3547,0.0009,0.8896%,1.6292%,70.1843%,0.3320%,MSFT
10107,19JUN2019,252,0.3921%,1.3784,0.0010,0.8850%,1.6471%,71.1288%,-0.0579%,MSFT
10107,21MAR2019,252,2.2975%,1.4345,0.0008,0.9000%,1.7443%,73.3783%,0.6990%,MSFT
10107,07FEB2018,252,-1.8833%,1.2260,0.0006,0.7741%,1.0352%,44.0889%,-1.4386%,MSFT
10107,20APR2015,252,3.0998%,1.0645,-0.0001,1.0516%,1.3174%,36.2803%,2.1029%,MSFT
10107,25FEB2019,252,0.5587%,1.4246,0.0007,0.9065%,1.7582%,73.4197%,0.3350%,MSFT
10107,13AUG2019,252,2.0694%,1.3460,0.0009,0.8891%,1.6618%,71.3772%,0.0840%,MSFT
10107,12JAN2015,252,-1.2503%,0.9012,0.0008,0.9800%,1.2036%,33.6966%,-0.5397%,MSFT
10107,15MAR2019,252,1.1519%,1.4307,0.0008,0.8984%,1.7412%,73.3774%,0.4566%,MSFT
10107,16FEB2018,252,-0.7123%,1.2746,0.0006,0.7853%,1.1204%,50.8692%,-0.7565%,MSFT
10107,28MAY2015,252,-0.3361%,1.1157,0.0003,1.2366%,1.4924%,31.3400%,-0.2022%,MSFT
10107,15AUG2019,252,-0.2239%,1.3357,0.0010,0.8911%,1.6711%,71.5627%,-0.4448%,MSFT
10107,12MAR2019,252,0.7002%,1.4344,0.0007,0.9035%,1.7473%,73.2650%,0.3331%,MSFT
10107,26JUL2016,252,0.0529%,1.2123,0.0008,1.1605%,1.7596%,56.5020%,-0.1059%,MSFT
10107,29AUG2019,252,1.8885%,1.3341,0.0010,0.8823%,1.6923%,72.8201%,0.0803%,MSFT
10107,03AUG2016,252,0.6893%,1.2161,0.0007,1.1497%,1.7533%,57.0001%,0.1415%,MSFT
10107,08MAR2019,252,0.1087%,1.4330,0.0007,0.9035%,1.7479%,73.2818%,0.4151%,MSFT
10107,23AUG2019,252,-3.1862%,1.3374,0.0011,0.8796%,1.6882%,72.8545%,0.3710%,MSFT
10107,05MAR2019,252,-0.4988%,1.4318,0.0006,0.9045%,1.7467%,73.1875%,-0.2648%,MSFT
10107,26FEB2018,252,1.4459%,1.2817,0.0007,0.7900%,1.1372%,51.7434%,0.0039%,MSFT
10107,15SEP2014,252,-0.9744%,0.8207,0.0009,1.0620%,1.1984%,21.4688%,-0.7450%,MSFT
10107,27AUG2019,252,0.2141%,1.3369,0.0011,0.8798%,1.6899%,72.8948%,0.8225%,MSFT
10107,25OCT2016,252,-0.0164%,1.1467,0.0004,0.9936%,1.4463%,52.8097%,0.5092%,MSFT
10107,09AUG2019,252,-0.8496%,1.3472,0.0009,0.8889%,1.6551%,71.1529%,0.1944%,MSFT
10107,27FEB2018,252,-1.2786%,1.2800,0.0008,0.7878%,1.1399%,52.2319%,0.3175%,MSFT
10107,27JUL2016,252,-1.0042%,1.2193,0.0008,1.1575%,1.7609%,56.7917%,-0.8355%,MSFT
10107,01MAR2018,252,-0.9811%,1.2716,0.0008,0.7896%,1.1392%,51.9514%,0.5122%,MSFT
10107,22FEB2019,252,1.4258%,1.4244,0.0006,0.9064%,1.7580%,73.4188%,0.4898%,MSFT
10107,02FEB2016,252,-3.1256%,1.2045,0.0015,1.2235%,1.7326%,50.1331%,-0.7258%,MSFT
10107,26JAN2015,252,-0.3603%,0.9455,0.0006,0.9281%,1.1781%,37.9301%,-0.7420%,MSFT
10107,23SEP2019,252,-0.2151%,1.3213,0.0009,0.8807%,1.6845%,72.6682%,-0.1977%,MSFT
10107,08MAR2018,252,0.6073%,1.2593,0.0007,0.7898%,1.1351%,51.5927%,0.1364%,MSFT
10107,30AUG2019,252,-0.1882%,1.3327,0.0010,0.8813%,1.6898%,72.8005%,-0.2353%,MSFT
10107,05SEP2019,252,1.7583%,1.3313,0.0009,0.8809%,1.6961%,73.0244%,-0.1429%,MSFT
10107,16JAN2015,252,1.6711%,0.8758,0.0007,0.9611%,1.1769%,33.3102%,0.4852%,MSFT
10107,01NOV2016,252,-0.2003%,1.1520,0.0005,0.9879%,1.4402%,52.9453%,0.5819%,MSFT
10107,13FEB2019,252,-0.0748%,1.4251,0.0006,0.8986%,1.7603%,73.9406%,-0.4828%,MSFT
10107,04NOV2016,252,-0.8445%,1.1508,0.0004,0.9847%,1.4382%,53.1214%,-0.7074%,MSFT
10107,13MAR2018,252,-2.4388%,1.2712,0.0007,0.7953%,1.1534%,52.4487%,-1.6009%,MSFT
10107,07JAN2015,252,1.2705%,0.8837,0.0008,0.9870%,1.1955%,31.8466%,0.2197%,MSFT
10107,15MAR2018,252,0.3516%,1.2744,0.0007,0.7949%,1.1535%,52.5093%,0.5744%,MSFT
10107,28APR2014,252,2.4054%,0.9063,0.0005,1.4499%,1.6000%,17.8862%,2.3057%,MSFT
10107,03JAN2014,252,-0.6728%,0.8355,0.0005,1.4416%,1.5558%,14.1479%,-0.6979%,MSFT
10107,05FEB2018,252,-4.1185%,1.1818,0.0006,0.7611%,1.0019%,42.2806%,0.7859%,MSFT
10107,16MAR2018,252,0.4460%,1.2743,0.0007,0.7949%,1.1535%,52.5127%,0.1213%,MSFT
10107,18AUG2014,252,0.7144%,0.8649,0.0009,1.2126%,1.3532%,19.6979%,-0.0907%,MSFT
10107,15OCT2019,252,1.4511%,1.3017,0.0007,0.8578%,1.6489%,72.9378%,0.0960%,MSFT
10107,07JUL2016,252,0.0000%,1.1976,0.0007,1.1564%,1.7479%,56.2283%,-0.0248%,MSFT
10107,18SEP2019,252,0.8225%,1.3220,0.0008,0.8780%,1.6852%,72.8520%,0.8796%,MSFT
10107,21JAN2015,252,-1.0132%,0.8706,0.0008,0.9612%,1.1746%,33.0260%,-1.3797%,MSFT
10107,24JAN2019,252,-0.4779%,1.4151,0.0011,0.8812%,1.8218%,76.6015%,-0.8136%,MSFT
10107,23JAN2019,252,0.9746%,1.4158,0.0011,0.8793%,1.8215%,76.6946%,0.7521%,MSFT
10107,19SEP2019,252,1.8409%,1.3214,0.0009,0.8855%,1.6879%,72.4793%,1.8980%,MSFT
10107,30SEP2019,252,0.9439%,1.3241,0.0008,0.8804%,1.6911%,72.8942%,0.2730%,MSFT
10107,03NOV2016,252,-0.3702%,1.1503,0.0004,0.9836%,1.4371%,53.1576%,0.0886%,MSFT
10107,09NOV2016,252,-0.4961%,1.1371,0.0004,0.9897%,1.4436%,52.9992%,-2.1779%,MSFT
10107,16JAN2019,252,0.3523%,1.4205,0.0011,0.8813%,1.8211%,76.5822%,-0.0558%,MSFT
10107,05APR2018,252,0.0541%,1.4045,0.0006,0.8452%,1.3454%,60.5289%,-1.0102%,MSFT
10107,10NOV2016,252,-2.4431%,1.1348,0.0002,1.0047%,1.4522%,52.1318%,-2.8079%,MSFT
10107,28JAN2019,252,-1.9502%,1.4159,0.0010,0.8834%,1.8267%,76.6134%,-0.8292%,MSFT
10107,14JAN2019,252,-0.7296%,1.4189,0.0011,0.8801%,1.8177%,76.5605%,0.1100%,MSFT
10107,07JUN2018,252,-1.5709%,1.4177,0.0005,0.8433%,1.3929%,63.3476%,-1.3787%,MSFT
10107,06NOV2019,252,-0.2769%,1.2862,0.0007,0.8016%,1.5439%,73.0428%,-0.2186%,MSFT
10107,25APR2014,252,0.1254%,0.9065,0.0004,1.4430%,1.5939%,18.0396%,1.0863%,MSFT
10107,12SEP2019,252,1.0285%,1.3227,0.0008,0.8761%,1.6861%,73.0013%,0.7283%,MSFT
10107,10JUN2015,252,2.1030%,1.1180,0.0002,1.2306%,1.4919%,31.9622%,0.7684%,MSFT
10107,07JAN2019,252,0.1275%,1.4197,0.0011,0.8756%,1.8151%,76.7284%,-1.2210%,MSFT
10107,08JAN2019,252,0.7251%,1.4166,0.0010,0.8771%,1.8140%,76.6247%,-0.7188%,MSFT
10107,02APR2015,252,-1.0560%,1.0485,-0.0004,1.0415%,1.3195%,37.7014%,-1.4237%,MSFT
10107,27JUN2016,252,-2.8096%,1.1872,0.0007,1.1631%,1.7419%,55.4143%,-0.3589%,MSFT
10107,03JAN2019,252,-3.6788%,1.4293,0.0011,0.8715%,1.7929%,76.3702%,-0.1993%,MSFT
10107,27DEC2018,252,0.6166%,1.4246,0.0012,0.8703%,1.7750%,75.9583%,-0.5060%,MSFT
10107,28DEC2018,252,-0.7808%,1.4245,0.0012,0.8720%,1.7757%,75.8878%,-0.7481%,MSFT
10107,28JUN2016,252,2.0855%,1.1904,0.0007,1.1627%,1.7419%,55.4483%,-0.0049%,MSFT
10107,01OCT2019,252,-1.4098%,1.3231,0.0008,0.8805%,1.6937%,72.9721%,0.3179%,MSFT
10107,17NOV2016,252,1.6597%,1.1475,0.0003,1.0160%,1.4562%,51.3213%,1.0184%,MSFT
10107,21DEC2018,252,-3.2312%,1.4294,0.0013,0.8684%,1.7018%,73.9627%,-0.1443%,MSFT
10107,07MAY2018,252,1.1139%,1.4306,0.0007,0.8554%,1.4043%,62.8940%,0.5080%,MSFT
10107,29NOV2019,252,-0.6171%,1.2454,0.0006,0.7865%,1.4454%,70.3897%,-0.0977%,MSFT
10107,24APR2018,252,-2.3387%,1.4190,0.0007,0.8393%,1.3784%,62.9222%,-0.5082%,MSFT
10107,23APR2018,252,0.3684%,1.4135,0.0007,0.8385%,1.3729%,62.6916%,0.4319%,MSFT
10107,21OCT2019,252,0.7423%,1.2983,0.0007,0.8602%,1.6333%,72.2628%,-0.1872%,MSFT
10107,14AUG2014,252,0.4310%,0.8732,0.0008,1.2112%,1.3564%,20.2704%,0.0482%,MSFT
10107,24APR2014,252,0.4283%,0.9152,0.0004,1.4415%,1.5942%,18.2352%,0.3552%,MSFT
10107,17SEP2014,252,-0.5133%,0.8275,0.0010,1.0607%,1.1994%,21.7903%,-0.6539%,MSFT
10107,17OCT2019,252,-0.5128%,1.2975,0.0007,0.8575%,1.6347%,72.4826%,-1.0008%,MSFT
10107,22NOV2016,252,0.4272%,1.1478,0.0002,1.0160%,1.4574%,51.3953%,0.0704%,MSFT
10107,15JUN2015,252,-1.0768%,1.1182,0.0001,1.2294%,1.4910%,32.0082%,-0.5735%,MSFT
10107,20JUN2016,252,-0.1197%,1.1841,0.0006,1.1596%,1.7062%,53.8143%,-0.9642%,MSFT
10107,25MAR2015,252,-3.3566%,1.0781,-0.0002,1.0426%,1.3348%,38.9947%,-1.7049%,MSFT
10107,10DEC2018,252,2.6426%,1.4414,0.0011,0.8685%,1.6729%,73.0463%,2.4888%,MSFT
10107,03MAY2018,252,0.5989%,1.4348,0.0006,0.8546%,1.4020%,62.8409%,0.9521%,MSFT
10107,04DEC2018,252,-3.1849%,1.4294,0.0011,0.8636%,1.6472%,72.5128%,1.8286%,MSFT
10107,04JUN2018,252,0.8731%,1.4177,0.0007,0.8394%,1.3891%,63.4846%,0.1851%,MSFT
10107,23DEC2019,252,0.0000%,1.2467,0.0005,0.7509%,1.3466%,68.9056%,-0.1323%,MSFT
10107,16JUN2016,252,1.4087%,1.1892,0.0006,1.1593%,1.7109%,54.0904%,1.1225%,MSFT
10107,28OCT2019,252,2.4586%,1.2690,0.0006,0.8411%,1.5665%,71.1725%,1.6528%,MSFT
10107,29NOV2016,252,0.7919%,1.1475,0.0002,1.0160%,1.4577%,51.4234%,0.6651%,MSFT
10107,23APR2014,252,-0.7502%,0.9145,0.0005,1.4601%,1.6108%,17.8361%,-0.4713%,MSFT
10107,11MAY2018,252,-0.2145%,1.4259,0.0006,0.8552%,1.4047%,62.9340%,-0.4919%,MSFT
10107,30MAR2015,252,-0.0244%,1.0581,-0.0003,1.0385%,1.3229%,38.3682%,-1.3553%,MSFT
10107,14NOV2018,252,-1.4120%,1.4354,0.0007,0.8973%,1.6007%,68.5733%,-0.3162%,MSFT
10107,23NOV2018,252,-0.0388%,1.4496,0.0008,0.8948%,1.6289%,69.8211%,0.7515%,MSFT
10107,10MAR2014,252,-0.2111%,0.8098,0.0007,1.4985%,1.6142%,13.8197%,-0.1385%,MSFT
10107,04FEB2015,252,0.5769%,1.0802,0.0001,1.0456%,1.3324%,38.4214%,0.9540%,MSFT
10107,06JUN2016,252,0.6565%,1.1910,0.0006,1.1518%,1.7085%,54.5504%,-0.0592%,MSFT
10107,04NOV2019,252,0.5775%,1.2852,0.0008,0.8042%,1.5453%,72.9166%,0.0623%,MSFT
10107,30NOV2016,252,-1.3587%,1.1469,0.0002,1.0179%,1.4572%,51.2087%,-1.0728%,MSFT
10107,19NOV2018,252,-3.3890%,1.4496,0.0008,0.8948%,1.6197%,69.4819%,-0.6831%,MSFT
10107,24OCT2018,252,-5.3469%,1.4515,0.0009,0.8923%,1.5505%,66.8797%,-0.5605%,MSFT
10107,16JAN2020,252,1.8323%,1.2168,0.0007,0.7342%,1.1958%,62.3011%,0.7588%,MSFT
10107,26FEB2014,252,-0.1865%,0.7989,0.0007,1.4974%,1.6096%,13.4576%,-0.2821%,MSFT
10107,08NOV2019,252,1.1784%,1.2785,0.0007,0.7990%,1.5265%,72.6037%,0.7735%,MSFT
10107,30OCT2018,252,-0.1155%,1.4390,0.0007,0.8769%,1.5556%,68.2252%,-2.5453%,MSFT
10107,24MAY2018,252,-0.3548%,1.4326,0.0007,0.8471%,1.3928%,63.0083%,-0.1316%,MSFT
10107,06FEB2015,252,-0.0942%,1.0819,0.0001,1.0427%,1.3305%,38.5813%,0.1217%,MSFT
10107,12NOV2019,252,0.6570%,1.2757,0.0007,0.7983%,1.5211%,72.4577%,0.4465%,MSFT
10107,20NOV2019,252,-0.1729%,1.2639,0.0008,0.7931%,1.4880%,71.5872%,0.2410%,MSFT
10107,05DEC2016,252,1.6371%,1.1481,0.0001,1.0182%,1.4471%,50.4958%,0.7703%,MSFT
