PERMNO,DATE,n,RET,alpha,b_mkt,b_smb,b_hml,b_umd,ivol,tvol,R2,exret
10107,07MAR2014,252,-0.6553%,0.0007,1.1051,-0.0950,-0.4870,-0.7548,1.4712%,1.6145%,16.9607%,-0.6428%
10107,10MAR2014,252,-0.2111%,0.0007,1.1113,-0.0865,-0.4968,-0.7653,1.4693%,1.6142%,17.1437%,-0.0698%
10107,11MAR2014,252,0.5288%,0.0008,1.1132,-0.1065,-0.4987,-0.7692,1.4692%,1.6139%,17.1214%,1.0240%
10107,12MAR2014,252,0.6575%,0.0008,1.1136,-0.1043,-0.5004,-0.7705,1.4694%,1.6142%,17.1368%,0.4215%
10107,13MAR2014,252,-0.9929%,0.0008,1.1120,-0.1032,-0.4980,-0.7699,1.4694%,1.6158%,17.2999%,0.2015%
10107,14MAR2014,252,-0.5014%,0.0008,1.1141,-0.1117,-0.4979,-0.7683,1.4697%,1.6158%,17.2680%,-0.3835%
10107,17MAR2014,252,0.9284%,0.0008,1.1148,-0.1093,-0.4914,-0.7751,1.4693%,1.6162%,17.3500%,0.0787%
10107,18MAR2014,252,3.9422%,0.0009,1.1258,-0.0730,-0.5262,-0.7693,1.4828%,1.6338%,17.6371%,3.3126%
10107,19MAR2014,252,-0.7080%,0.0009,1.1296,-0.0727,-0.5264,-0.7768,1.4821%,1.6347%,17.7996%,0.1848%
10107,20MAR2014,252,2.6993%,0.0009,1.1412,-0.0938,-0.4463,-0.7825,1.4894%,1.6424%,17.7698%,2.4699%
10107,21MAR2014,252,-0.4215%,0.0009,1.1402,-0.0962,-0.4613,-0.7694,1.4898%,1.6419%,17.6660%,-0.5103%
10107,24MAR2014,252,0.8466%,0.0010,1.1448,-0.1137,-0.4403,-0.7852,1.4910%,1.6423%,17.5726%,1.1344%
10107,25MAR2014,252,-0.3951%,0.0009,1.1380,-0.1040,-0.4394,-0.7764,1.4924%,1.6424%,17.4340%,-0.9130%
10107,26MAR2014,252,-1.3634%,0.0009,1.1415,-0.0922,-0.4484,-0.7609,1.4932%,1.6452%,17.6277%,-1.0224%
10107,27MAR2014,252,-1.0807%,0.0008,1.1367,-0.0897,-0.4171,-0.7415,1.4953%,1.6466%,17.5304%,-1.3821%
10107,28MAR2014,252,2.3882%,0.0009,1.1497,-0.0964,-0.3903,-0.7678,1.4986%,1.6521%,17.7130%,1.7636%
10107,31MAR2014,252,1.7122%,0.0009,1.1552,-0.0583,-0.3894,-0.7766,1.4994%,1.6549%,17.9185%,1.1875%
10107,01APR2014,252,1.0490%,0.0009,1.1525,-0.0449,-0.3888,-0.7696,1.4997%,1.6556%,17.9395%,0.7035%
10107,02APR2014,252,-0.1690%,0.0009,1.1500,-0.0460,-0.3916,-0.7676,1.5002%,1.6545%,17.7817%,-0.5240%
10107,03APR2014,252,-0.8222%,0.0008,1.1433,-0.0318,-0.4080,-0.7472,1.5017%,1.6557%,17.7378%,-1.0152%
10107,04APR2014,252,-2.7798%,0.0007,1.1522,-0.0147,-0.4496,-0.7077,1.5063%,1.6660%,18.2533%,-2.1120%
10107,07APR2014,252,-0.1756%,0.0007,1.1535,-0.0127,-0.4443,-0.7124,1.5053%,1.6658%,18.3378%,0.5116%
10107,08APR2014,252,0.0503%,0.0006,1.1257,0.0125,-0.4312,-0.6735,1.4945%,1.6518%,18.1416%,-0.6874%
10107,09APR2014,252,1.6323%,0.0006,1.1184,-0.0031,-0.4474,-0.6462,1.4945%,1.6490%,17.8647%,0.8316%
10107,10APR2014,252,-2.7428%,0.0008,1.1298,-0.0651,-0.4996,-0.5750,1.4663%,1.6336%,19.4355%,-1.0991%
10107,11APR2014,252,-0.3836%,0.0008,1.1244,-0.0683,-0.5014,-0.5721,1.4665%,1.6335%,19.3956%,0.6150%
10107,14APR2014,252,-0.0740%,0.0006,1.1575,0.0118,-0.4734,-0.6172,1.4620%,1.6332%,19.8700%,-0.8993%
10107,15APR2014,252,1.4548%,0.0007,1.1651,0.0017,-0.4714,-0.6166,1.4627%,1.6345%,19.9081%,0.8708%
10107,16APR2014,252,1.6352%,0.0006,1.1894,0.0036,-0.4645,-0.6343,1.4617%,1.6366%,20.2330%,0.7362%
10107,17APR2014,252,-0.9654%,0.0006,1.1967,-0.0093,-0.4771,-0.6413,1.4628%,1.6380%,20.2551%,-0.9667%
10107,21APR2014,252,-0.1750%,0.0004,1.2069,0.0162,-0.4969,-0.7261,1.4506%,1.6254%,20.3447%,-0.7063%
10107,22APR2014,252,0.1252%,0.0003,1.1890,0.0345,-0.4687,-0.7121,1.4390%,1.6108%,20.1882%,-0.2400%
10107,23APR2014,252,-0.7502%,0.0003,1.2038,0.0605,-0.4329,-0.7254,1.4347%,1.6108%,20.6680%,-0.1509%
10107,24APR2014,252,0.4283%,0.0002,1.1870,-0.0325,-0.5786,-0.6502,1.4159%,1.5942%,21.1099%,-0.0728%
10107,25APR2014,252,0.1254%,0.0003,1.1902,-0.0397,-0.5751,-0.6662,1.4167%,1.5939%,20.9978%,0.8265%
10107,28APR2014,252,2.4054%,0.0003,1.2088,-0.0621,-0.6218,-0.7022,1.4180%,1.6000%,21.4515%,1.1507%
10107,29APR2014,252,-0.8808%,0.0003,1.1912,-0.0501,-0.6037,-0.6887,1.4177%,1.5937%,20.8601%,-1.1607%
10107,30APR2014,252,-0.2715%,0.0002,1.1854,-0.0598,-0.6023,-0.6744,1.4174%,1.5914%,20.6716%,-0.3296%
10107,01MAY2014,252,-0.9901%,0.0002,1.1850,-0.0547,-0.5949,-0.6761,1.4191%,1.5910%,20.4329%,-1.0901%
10107,02MAY2014,252,-0.7750%,0.0001,1.1839,-0.0639,-0.6055,-0.6766,1.4190%,1.5900%,20.3473%,-0.3515%
10107,05MAY2014,252,-0.6551%,0.0001,1.1937,-0.0380,-0.5834,-0.7006,1.4198%,1.5897%,20.2277%,-0.8751%
10107,06MAY2014,252,-0.9384%,0.0001,1.1933,-0.0531,-0.6147,-0.6988,1.4185%,1.5904%,20.4415%,0.0378%
10107,07MAY2014,252,0.9345%,0.0002,1.2045,-0.0612,-0.5802,-0.6980,1.4151%,1.5888%,20.6706%,0.8823%
