PERMNO,DATE,n,RET,alpha,b_mkt,b_smb,b_hml,b_umd,ivol,tvol,R2,exret
10107,15APR2020,252,-1.0478%,0.0008,1.2324,-0.2845,-0.5168,0.1023,0.7882%,2.4738%,89.8471%,-0.3169%
10107,16APR2020,252,3.0021%,0.0008,1.2328,-0.2837,-0.5180,0.1046,0.7883%,2.4801%,89.8969%,0.2443%
10107,17APR2020,252,0.8812%,0.0007,1.2339,-0.2732,-0.5231,0.1166,0.7830%,2.4801%,90.0317%,-0.2749%
10107,20APR2020,252,-1.9821%,0.0006,1.2342,-0.2768,-0.5211,0.1146,0.7823%,2.4828%,90.0718%,-0.4962%
10107,21APR2020,252,-4.1357%,0.0007,1.2345,-0.2779,-0.5222,0.1139,0.7820%,2.4976%,90.1957%,0.0361%
10107,22APR2020,252,3.3965%,0.0006,1.2318,-0.2755,-0.5135,0.1182,0.7830%,2.5048%,90.2292%,-0.5476%
10107,23APR2020,252,-1.2102%,0.0006,1.2314,-0.2780,-0.5099,0.1250,0.7836%,2.5061%,90.2220%,-0.4855%
10107,24APR2020,252,1.8259%,0.0005,1.2338,-0.2670,-0.5275,0.1031,0.7612%,2.5004%,90.7330%,0.0521%
10107,27APR2020,252,-0.2865%,0.0005,1.2339,-0.2701,-0.5311,0.1037,0.7615%,2.5004%,90.7253%,-0.3078%
10107,28APR2020,252,-2.4361%,0.0005,1.2335,-0.2697,-0.5296,0.1025,0.7616%,2.5057%,90.7621%,0.2300%
10107,29APR2020,252,4.4874%,0.0006,1.2429,-0.2469,-0.5566,0.0473,0.7806%,2.5204%,90.4092%,2.9670%
10107,30APR2020,252,1.0032%,0.0007,1.2414,-0.2565,-0.5600,0.0474,0.7798%,2.5170%,90.4006%,1.1369%
10107,01MAY2020,252,-2.5891%,0.0007,1.2408,-0.2508,-0.5579,0.0526,0.7759%,2.5213%,90.5296%,0.1958%
10107,04MAY2020,252,2.4460%,0.0007,1.2416,-0.2537,-0.5647,0.0493,0.7773%,2.5223%,90.5025%,1.1317%
10107,05MAY2020,252,1.0736%,0.0007,1.2380,-0.2589,-0.5549,0.0440,0.7821%,2.5226%,90.3875%,-1.3373%
10107,06MAY2020,252,0.9847%,0.0007,1.2386,-0.2577,-0.5573,0.0436,0.7821%,2.5191%,90.3622%,0.1750%
10107,07MAY2020,252,0.5807%,0.0007,1.2372,-0.2548,-0.5513,0.0531,0.7838%,2.5192%,90.3205%,-0.7648%
10107,08MAY2020,252,0.5882%,0.0007,1.2375,-0.2550,-0.5527,0.0512,0.7835%,2.5193%,90.3271%,0.1237%
10107,11MAY2020,252,1.1154%,0.0006,1.2339,-0.2631,-0.5357,0.0499,0.7853%,2.5190%,90.2814%,-1.0658%
10107,12MAY2020,252,-2.2652%,0.0006,1.2357,-0.2587,-0.5356,0.0488,0.7867%,2.5159%,90.2223%,-0.7052%
10107,13MAY2020,252,-1.5122%,0.0005,1.2366,-0.2575,-0.5363,0.0422,0.7881%,2.5174%,90.1985%,-0.7132%
10107,14MAY2020,252,0.4339%,0.0005,1.2363,-0.2465,-0.5382,0.0457,0.7900%,2.5163%,90.1424%,-0.8308%
10107,15MAY2020,252,1.4568%,0.0005,1.2362,-0.2392,-0.5406,0.0455,0.7887%,2.5140%,90.1574%,0.4867%
10107,18MAY2020,252,0.9554%,0.0005,1.2364,-0.2385,-0.5411,0.0446,0.7887%,2.5140%,90.1576%,0.0876%
10107,19MAY2020,252,-0.6922%,0.0005,1.2357,-0.2380,-0.5358,0.0471,0.7888%,2.5124%,90.1420%,-0.4065%
10107,20MAY2020,252,1.3832%,0.0005,1.2369,-0.2354,-0.5396,0.0438,0.7877%,2.5135%,90.1790%,0.1972%
10107,21MAY2020,252,-1.2011%,0.0005,1.2372,-0.2344,-0.5413,0.0411,0.7870%,2.5149%,90.2078%,0.0926%
10107,22MAY2020,252,0.0436%,0.0005,1.2368,-0.2375,-0.5403,0.0392,0.7882%,2.5134%,90.1646%,-0.6752%
10107,26MAY2020,252,-1.0572%,0.0005,1.2367,-0.2378,-0.5396,0.0390,0.7883%,2.5146%,90.1738%,0.0971%
10107,27MAY2020,252,0.1322%,0.0005,1.2365,-0.2394,-0.5349,0.0381,0.7879%,2.5146%,90.1819%,0.4456%
10107,28MAY2020,252,-0.2255%,0.0004,1.2349,-0.2280,-0.5250,0.0392,0.7936%,2.5136%,90.0334%,-1.4720%
10107,29MAY2020,252,1.0198%,0.0004,1.2333,-0.2297,-0.5218,0.0358,0.7958%,2.5140%,89.9814%,-0.9092%
10107,01JUN2020,252,-0.2292%,0.0004,1.2326,-0.2279,-0.5175,0.0419,0.7967%,2.5116%,89.9387%,-0.5778%
10107,02JUN2020,252,1.1377%,0.0005,1.2288,-0.2263,-0.4990,0.0502,0.7897%,2.5036%,90.0515%,0.4535%
10107,03JUN2020,252,0.2434%,0.0005,1.2289,-0.2266,-0.4993,0.0494,0.7897%,2.4983%,90.0095%,0.1078%
10107,04JUN2020,252,-1.3164%,0.0005,1.2270,-0.2282,-0.4955,0.0450,0.7900%,2.4970%,89.9899%,0.6606%
10107,05JUN2020,252,2.3398%,0.0005,1.2288,-0.2260,-0.5030,0.0299,0.7914%,2.4992%,89.9716%,1.0366%
10107,08JUN2020,252,0.6197%,0.0005,1.2270,-0.2277,-0.4976,0.0305,0.7896%,2.4939%,89.9756%,0.2032%
10107,09JUN2020,252,0.7645%,0.0005,1.2264,-0.2255,-0.4933,0.0385,0.7903%,2.4938%,89.9564%,0.6490%
10107,10JUN2020,252,3.7092%,0.0006,1.2287,-0.2227,-0.4964,0.0575,0.7988%,2.5034%,89.8186%,1.9565%
10107,11JUN2020,252,-5.3698%,0.0006,1.2297,-0.2189,-0.4973,0.0584,0.7974%,2.5275%,90.0473%,-0.0962%
10107,12JUN2020,252,0.7892%,0.0006,1.2298,-0.2201,-0.4980,0.0559,0.7976%,2.5276%,90.0419%,0.4148%
10107,15JUN2020,252,0.6392%,0.0006,1.2293,-0.2264,-0.5002,0.0520,0.7985%,2.5278%,90.0209%,-0.6122%
10107,16JUN2020,252,2.4505%,0.0006,1.2307,-0.2229,-0.5045,0.0494,0.7989%,2.5318%,90.0438%,0.5830%
10107,17JUN2020,252,0.3461%,0.0006,1.2298,-0.2214,-0.5028,0.0488,0.7986%,2.5300%,90.0350%,-0.5090%
10107,18JUN2020,252,1.0708%,0.0006,1.2304,-0.2202,-0.5049,0.0482,0.7990%,2.5306%,90.0308%,0.5945%
10107,19JUN2020,252,-0.5960%,0.0006,1.2311,-0.2223,-0.5072,0.0455,0.7991%,2.5306%,90.0284%,-0.4056%
10107,22JUN2020,252,2.7774%,0.0006,1.2332,-0.2119,-0.5120,0.0478,0.8031%,2.5359%,89.9694%,1.3478%
10107,23JUN2020,252,0.6681%,0.0006,1.2339,-0.2079,-0.5158,0.0452,0.8018%,2.5359%,90.0035%,-0.1370%
10107,24JUN2020,252,-2.0158%,0.0007,1.2302,-0.2052,-0.5051,0.0516,0.7958%,2.5309%,90.1144%,0.2750%
10107,25JUN2020,252,1.2636%,0.0007,1.2302,-0.2036,-0.5013,0.0560,0.7949%,2.5318%,90.1416%,0.2265%
10107,26JUN2020,252,-2.0016%,0.0007,1.2301,-0.1990,-0.5019,0.0567,0.7946%,2.5356%,90.1790%,0.2519%
10107,29JUN2020,252,1.0747%,0.0007,1.2304,-0.1939,-0.5002,0.0564,0.7942%,2.5361%,90.1924%,0.5345%
10107,30JUN2020,252,2.5549%,0.0007,1.2309,-0.1927,-0.4980,0.0591,0.7948%,2.5396%,90.2048%,0.5643%
10107,01JUL2020,252,0.5847%,0.0007,1.2272,-0.1840,-0.4822,0.0653,0.8011%,2.5395%,90.0496%,-1.5530%
10107,02JUL2020,252,0.7621%,0.0007,1.2278,-0.1839,-0.4829,0.0653,0.8002%,2.5396%,90.0710%,0.0757%
10107,06JUL2020,252,2.1526%,0.0007,1.2282,-0.1846,-0.4843,0.0645,0.8001%,2.5424%,90.0954%,0.1967%
10107,07JUL2020,252,-1.1628%,0.0007,1.2295,-0.1829,-0.4898,0.0571,0.8019%,2.5438%,90.0640%,-0.8928%
10107,08JUL2020,252,2.1993%,0.0007,1.2307,-0.1808,-0.4910,0.0584,0.8013%,2.5467%,90.1001%,0.8548%
10107,09JUL2020,252,0.7001%,0.0007,1.2301,-0.1797,-0.4889,0.0583,0.8014%,2.5464%,90.0944%,-0.2751%
10107,10JUL2020,252,-0.3033%,0.0007,1.2303,-0.1796,-0.4897,0.0583,0.8014%,2.5465%,90.0955%,-0.0200%
10107,13JUL2020,252,-3.0889%,0.0007,1.2328,-0.1741,-0.4985,0.0555,0.8027%,2.5550%,90.1290%,-0.6671%
10107,14JUL2020,252,0.6181%,0.0006,1.2315,-0.1799,-0.5016,0.0513,0.8054%,2.5551%,90.0650%,-1.1647%
10107,15JUL2020,252,-0.1488%,0.0007,1.2305,-0.1825,-0.4970,0.0556,0.8038%,2.5534%,90.0901%,-0.3109%
10107,16JUL2020,252,-1.9804%,0.0006,1.2325,-0.1797,-0.5087,0.0485,0.8075%,2.5566%,90.0230%,-1.2023%
10107,17JUL2020,252,-0.5100%,0.0006,1.2309,-0.1866,-0.5053,0.0445,0.8142%,2.5569%,89.8600%,-1.6578%
10107,20JUL2020,252,4.2981%,0.0006,1.2363,-0.1852,-0.5164,0.0478,0.8160%,2.5700%,89.9182%,1.6289%
10107,21JUL2020,252,-1.3469%,0.0006,1.2352,-0.1831,-0.5123,0.0483,0.8155%,2.5709%,89.9382%,0.4524%
10107,22JUL2020,252,1.4371%,0.0006,1.2354,-0.1843,-0.5125,0.0486,0.8159%,2.5720%,89.9356%,0.5101%
10107,23JUL2020,252,-4.3495%,0.0004,1.2403,-0.1917,-0.5285,0.0432,0.8214%,2.5873%,89.9204%,-1.6540%
10107,24JUL2020,252,-0.6122%,0.0005,1.2399,-0.1934,-0.5274,0.0433,0.8217%,2.5876%,89.9157%,0.3885%
10107,27JUL2020,252,1.2668%,0.0004,1.2384,-0.1995,-0.5235,0.0417,0.8233%,2.5882%,89.8809%,-0.8263%
10107,28JUL2020,252,-0.8977%,0.0005,1.2375,-0.2027,-0.5211,0.0422,0.8237%,2.5889%,89.8765%,0.5122%
10107,29JUL2020,252,1.0098%,0.0004,1.2378,-0.2067,-0.5219,0.0421,0.8232%,2.5891%,89.8907%,-0.0663%
10107,30JUL2020,252,-0.0784%,0.0005,1.2348,-0.2100,-0.5123,0.0448,0.8205%,2.5817%,89.9006%,-0.6933%
10107,31JUL2020,252,0.5444%,0.0004,1.2346,-0.2013,-0.5128,0.0393,0.8182%,2.5809%,89.9495%,-0.9338%
10107,03AUG2020,252,5.6241%,0.0006,1.2389,-0.1603,-0.5055,0.0624,0.8575%,2.6026%,89.1442%,4.1605%
10107,04AUG2020,252,-1.5009%,0.0005,1.2389,-0.1641,-0.5010,0.0671,0.8653%,2.5947%,88.8793%,-1.8009%
10107,05AUG2020,252,-0.1641%,0.0005,1.2391,-0.1672,-0.5011,0.0679,0.8657%,2.5927%,88.8506%,-0.4532%
10107,06AUG2020,252,1.6014%,0.0005,1.2396,-0.1679,-0.5034,0.0667,0.8660%,2.5941%,88.8561%,0.4397%
10107,07AUG2020,252,-1.7888%,0.0005,1.2403,-0.1692,-0.5066,0.0656,0.8663%,2.5926%,88.8345%,-0.3354%
10107,10AUG2020,252,-1.9908%,0.0004,1.2407,-0.1723,-0.5061,0.0701,0.8691%,2.5954%,88.7878%,-1.0750%
10107,11AUG2020,252,-2.3385%,0.0004,1.2416,-0.1706,-0.5079,0.0707,0.8695%,2.5984%,88.8032%,-0.3818%
10107,12AUG2020,252,2.8567%,0.0004,1.2422,-0.1710,-0.5086,0.0708,0.8695%,2.6011%,88.8256%,0.2254%
10107,13AUG2020,252,-0.2342%,0.0004,1.2428,-0.1748,-0.5090,0.0673,0.8716%,2.5934%,88.7043%,-0.9673%
10107,14AUG2020,252,0.0958%,0.0004,1.2421,-0.1787,-0.5043,0.0701,0.8708%,2.5932%,88.7249%,0.7552%
10107,17AUG2020,252,0.6606%,0.0004,1.2404,-0.1857,-0.5011,0.0681,0.8726%,2.5914%,88.6603%,-0.9346%
10107,18AUG2020,252,0.5754%,0.0003,1.2393,-0.1813,-0.4983,0.0693,0.8735%,2.5898%,88.6234%,-0.7215%
10107,19AUG2020,252,-0.6052%,0.0004,1.2392,-0.1810,-0.4984,0.0694,0.8735%,2.5895%,88.6222%,-0.0088%
10107,20AUG2020,252,2.3271%,0.0004,1.2404,-0.1826,-0.5025,0.0684,0.8754%,2.5923%,88.5955%,0.9804%
10107,21AUG2020,252,-0.7270%,0.0003,1.2397,-0.1749,-0.5026,0.0677,0.8803%,2.5923%,88.4697%,-1.5065%
10107,24AUG2020,252,0.3145%,0.0004,1.2388,-0.1788,-0.4993,0.0667,0.8810%,2.5834%,88.3713%,0.6312%
10107,25AUG2020,252,1.3009%,0.0004,1.2389,-0.1779,-0.4989,0.0678,0.8814%,2.5830%,88.3551%,0.4947%
10107,26AUG2020,252,2.1620%,0.0004,1.2384,-0.1752,-0.4983,0.0672,0.8816%,2.5859%,88.3760%,-0.3121%
10107,27AUG2020,252,2.4554%,0.0005,1.2383,-0.1861,-0.5038,0.0531,0.8979%,2.5896%,87.9784%,2.8114%
10107,28AUG2020,252,1.0283%,0.0005,1.2379,-0.1864,-0.5032,0.0538,0.8975%,2.5880%,87.9744%,0.1418%
10107,31AUG2020,252,-1.4766%,0.0004,1.2359,-0.1847,-0.4949,0.0531,0.9114%,2.5901%,87.6183%,-2.4884%
10107,01SEP2020,252,0.7715%,0.0004,1.2349,-0.1896,-0.4945,0.0517,0.9116%,2.5884%,87.5964%,-0.5165%
10107,02SEP2020,252,1.9272%,0.0004,1.2349,-0.1896,-0.4945,0.0517,0.9116%,2.5899%,87.6112%,0.0561%
10107,03SEP2020,252,-6.1947%,0.0004,1.2354,-0.1886,-0.4939,0.0548,0.9112%,2.6197%,87.9018%,-0.2062%
10107,04SEP2020,252,-1.4036%,0.0004,1.2336,-0.1935,-0.4893,0.0543,0.9112%,2.6211%,87.9131%,0.8006%
10107,08SEP2020,252,-5.4096%,0.0003,1.2401,-0.2012,-0.4958,0.0532,0.9178%,2.6435%,87.9458%,-1.8064%
10107,09SEP2020,252,4.2584%,0.0004,1.2415,-0.1990,-0.4985,0.0524,0.9180%,2.6547%,88.0418%,0.5092%
10107,10SEP2020,252,-2.8018%,0.0004,1.2440,-0.1938,-0.5040,0.0490,0.9178%,2.6614%,88.1074%,-0.7624%
10107,11SEP2020,252,-0.6525%,0.0003,1.2445,-0.1915,-0.5081,0.0461,0.9174%,2.6615%,88.1191%,-0.2635%
10107,14SEP2020,252,0.6764%,0.0003,1.2412,-0.2025,-0.4987,0.0507,0.9220%,2.6616%,88.0004%,-1.4603%
10107,15SEP2020,252,1.6406%,0.0003,1.2413,-0.2029,-0.4987,0.0510,0.9220%,2.6625%,88.0085%,0.0990%
10107,16SEP2020,252,-1.7866%,0.0003,1.2416,-0.2043,-0.4973,0.0540,0.9221%,2.6652%,88.0307%,-0.3482%
10107,17SEP2020,252,-1.0436%,0.0002,1.2420,-0.2012,-0.5016,0.0505,0.9212%,2.6660%,88.0616%,0.2203%
10107,18SEP2020,252,-1.2419%,0.0002,1.2423,-0.1987,-0.5032,0.0485,0.9161%,2.6655%,88.1866%,-0.1394%
10107,21SEP2020,252,1.0729%,0.0002,1.2412,-0.2063,-0.4996,0.0531,0.9174%,2.6647%,88.1475%,0.9209%
10107,22SEP2020,252,2.4094%,0.0002,1.2415,-0.2061,-0.5001,0.0533,0.9175%,2.6683%,88.1774%,0.1924%
10107,23SEP2020,252,-3.2928%,0.0002,1.2419,-0.2058,-0.5001,0.0537,0.9175%,2.6757%,88.2416%,-0.2841%
10107,24SEP2020,252,1.2962%,0.0002,1.2414,-0.2087,-0.4975,0.0557,0.9183%,2.6755%,88.2201%,1.1162%
10107,25SEP2020,252,2.2787%,0.0002,1.2404,-0.2074,-0.4962,0.0556,0.9186%,2.6787%,88.2407%,-0.5445%
10107,28SEP2020,252,0.7795%,0.0002,1.2397,-0.2100,-0.4972,0.0549,0.9193%,2.6773%,88.2092%,-0.5822%
10107,29SEP2020,252,-1.0409%,0.0001,1.2399,-0.2169,-0.4970,0.0517,0.9220%,2.6781%,88.1477%,-1.0965%
10107,30SEP2020,252,1.4812%,0.0002,1.2396,-0.2192,-0.4949,0.0532,0.9222%,2.6773%,88.1356%,0.4234%
10107,01OCT2020,252,1.0127%,0.0002,1.2402,-0.2220,-0.4964,0.0514,0.9220%,2.6749%,88.1192%,-0.0775%
10107,02OCT2020,252,-2.9511%,0.0002,1.2411,-0.2231,-0.4997,0.0496,0.9219%,2.6816%,88.1817%,-0.1514%
10107,05OCT2020,252,2.0321%,0.0002,1.2412,-0.2260,-0.4977,0.0511,0.9213%,2.6831%,88.2105%,-0.2191%
10107,06OCT2020,252,-2.1247%,0.0002,1.2416,-0.2271,-0.4985,0.0504,0.9213%,2.6865%,88.2384%,-0.2534%
10107,07OCT2020,252,1.9037%,0.0001,1.2430,-0.2273,-0.5028,0.0470,0.9200%,2.6874%,88.2799%,-0.1681%
10107,08OCT2020,252,0.3574%,0.0001,1.2427,-0.2255,-0.5036,0.0464,0.9194%,2.6853%,88.2781%,-0.0211%
10107,09OCT2020,252,2.4836%,0.0001,1.2433,-0.2248,-0.5039,0.0477,0.9199%,2.6890%,88.2967%,0.5162%
10107,12OCT2020,252,2.5902%,0.0002,1.2451,-0.2252,-0.5079,0.0440,0.9186%,2.6932%,88.3666%,0.4220%
10107,13OCT2020,252,0.6594%,0.0002,1.2451,-0.2245,-0.5078,0.0448,0.9187%,2.6932%,88.3643%,0.2444%
10107,14OCT2020,252,-0.8974%,0.0002,1.2450,-0.2246,-0.5076,0.0450,0.9187%,2.6931%,88.3629%,-0.0288%
10107,15OCT2020,252,-0.5433%,0.0002,1.2444,-0.2224,-0.5052,0.0464,0.9187%,2.6927%,88.3588%,0.3734%
10107,16OCT2020,252,0.0000%,0.0002,1.2449,-0.2179,-0.5074,0.0454,0.9167%,2.6923%,88.4063%,0.0504%
10107,19OCT2020,252,-2.4766%,0.0003,1.2442,-0.2201,-0.5010,0.0499,0.9158%,2.6951%,88.4525%,-0.3267%
10107,20OCT2020,252,0.2007%,0.0003,1.2439,-0.2213,-0.4992,0.0504,0.9162%,2.6949%,88.4422%,0.4279%
10107,21OCT2020,252,0.0699%,0.0003,1.2433,-0.2236,-0.4994,0.0481,0.9164%,2.6928%,88.4191%,0.6176%
10107,22OCT2020,252,0.0419%,0.0003,1.2433,-0.2231,-0.4991,0.0488,0.9160%,2.6927%,88.4285%,0.0016%
10107,23OCT2020,252,0.6236%,0.0003,1.2429,-0.2217,-0.4984,0.0480,0.9136%,2.6905%,88.4690%,0.2644%
10107,26OCT2020,252,-2.8442%,0.0002,1.2449,-0.2208,-0.5031,0.0441,0.9153%,2.6973%,88.4846%,-0.8599%
10107,27OCT2020,252,1.5089%,0.0002,1.2439,-0.2223,-0.5002,0.0477,0.9102%,2.6948%,88.5925%,0.4743%
10107,28OCT2020,252,-4.9566%,0.0002,1.2454,-0.2216,-0.5024,0.0464,0.9101%,2.7134%,88.7502%,-0.4218%
10107,29OCT2020,252,1.0065%,0.0002,1.2450,-0.2214,-0.5011,0.0474,0.9101%,2.7130%,88.7467%,-0.1910%
10107,30OCT2020,252,-1.0991%,0.0003,1.2411,-0.2331,-0.4930,0.0465,0.9142%,2.7134%,88.6495%,1.5793%
10107,02NOV2020,252,-0.0691%,0.0003,1.2410,-0.2338,-0.4948,0.0455,0.9153%,2.7135%,88.6229%,-0.8472%
10107,03NOV2020,252,2.0264%,0.0002,1.2404,-0.2335,-0.4924,0.0499,0.9138%,2.7159%,88.6788%,-0.2520%
10107,04NOV2020,252,4.8249%,0.0002,1.2362,-0.2296,-0.4803,0.0527,0.9157%,2.7315%,88.7617%,-0.9819%
10107,05NOV2020,252,3.1887%,0.0002,1.2373,-0.2254,-0.4759,0.0568,0.9176%,2.7378%,88.7660%,1.0362%
10107,06NOV2020,252,0.1926%,0.0002,1.2373,-0.2233,-0.4759,0.0563,0.9182%,2.7378%,88.7514%,-0.5083%
10107,09NOV2020,252,-2.3824%,0.0002,1.2379,-0.2272,-0.4864,0.0389,0.9182%,2.7420%,88.7860%,0.7324%
10107,10NOV2020,252,-3.3793%,0.0001,1.2406,-0.2388,-0.4992,0.0322,0.9243%,2.7513%,88.7132%,-1.6888%
10107,11NOV2020,252,2.6255%,0.0001,1.2409,-0.2392,-0.4987,0.0337,0.9245%,2.7554%,88.7437%,0.4096%
10107,12NOV2020,252,-0.5126%,0.0001,1.2410,-0.2394,-0.4988,0.0339,0.9242%,2.7558%,88.7534%,-0.0553%
10107,13NOV2020,252,0.4967%,0.0001,1.2406,-0.2399,-0.4984,0.0347,0.9243%,2.7558%,88.7491%,-0.3540%
10107,16NOV2020,252,0.3325%,0.0001,1.2406,-0.2395,-0.4979,0.0348,0.9243%,2.7549%,88.7428%,0.0953%
10107,17NOV2020,252,-1.2751%,0.0001,1.2408,-0.2427,-0.4974,0.0351,0.9260%,2.7565%,88.7150%,-0.8839%
10107,18NOV2020,252,-1.3149%,0.0001,1.2412,-0.2412,-0.4993,0.0343,0.9258%,2.7580%,88.7332%,-0.1701%
10107,19NOV2020,252,0.6348%,0.0001,1.2409,-0.2424,-0.4981,0.0347,0.9261%,2.7581%,88.7265%,-0.3638%
10107,20NOV2020,252,-0.9557%,0.0001,1.2411,-0.2443,-0.4979,0.0343,0.9266%,2.7590%,88.7213%,-0.4861%
10107,23NOV2020,252,-0.1331%,0.0001,1.2411,-0.2446,-0.4980,0.0344,0.9266%,2.7590%,88.7218%,-0.0709%
10107,24NOV2020,252,1.7848%,0.0001,1.2418,-0.2508,-0.4955,0.0307,0.9301%,2.7603%,88.6449%,1.3143%
10107,25NOV2020,252,0.0047%,0.0001,1.2416,-0.2514,-0.4949,0.0301,0.9312%,2.7602%,88.6182%,-0.7215%
10107,27NOV2020,252,0.6359%,0.0001,1.2412,-0.2538,-0.4931,0.0297,0.9319%,2.7604%,88.6019%,-0.6506%
10107,30NOV2020,252,-0.5390%,0.0000,1.2414,-0.2492,-0.4945,0.0259,0.9351%,2.7603%,88.5237%,-1.2481%
10107,01DEC2020,252,0.9997%,0.0000,1.2414,-0.2491,-0.4946,0.0258,0.9351%,2.7594%,88.5161%,0.0141%
10107,02DEC2020,252,-0.3885%,0.0000,1.2416,-0.2507,-0.4939,0.0259,0.9348%,2.7595%,88.5247%,0.0388%
10107,03DEC2020,252,-0.5247%,0.0000,1.2414,-0.2522,-0.4922,0.0270,0.9356%,2.7599%,88.5088%,-0.6402%
10107,04DEC2020,252,0.0560%,-0.0000,1.2412,-0.2547,-0.4915,0.0278,0.9359%,2.7599%,88.5015%,-0.3766%
10107,07DEC2020,252,-0.0327%,-0.0000,1.2409,-0.2562,-0.4916,0.0269,0.9362%,2.7591%,88.4859%,-0.5599%
10107,08DEC2020,252,0.8027%,-0.0001,1.2412,-0.2560,-0.4923,0.0266,0.9361%,2.7593%,88.4915%,0.1060%
10107,09DEC2020,252,-1.9490%,-0.0001,1.2412,-0.2560,-0.4923,0.0266,0.9361%,2.7625%,88.5180%,-0.0048%
10107,10DEC2020,252,-0.6043%,-0.0001,1.2408,-0.2611,-0.4896,0.0277,0.9375%,2.7629%,88.4859%,-0.8376%
10107,11DEC2020,252,1.3015%,-0.0001,1.2407,-0.2621,-0.4924,0.0267,0.9395%,2.7633%,88.4394%,1.0722%
10107,14DEC2020,252,0.4408%,-0.0001,1.2408,-0.2608,-0.4936,0.0259,0.9390%,2.7630%,88.4497%,0.1450%
10107,15DEC2020,252,-0.0327%,-0.0001,1.2402,-0.2670,-0.4950,0.0243,0.9415%,2.7629%,88.3870%,-1.1333%
10107,16DEC2020,252,2.4051%,-0.0000,1.2400,-0.2711,-0.4918,0.0270,0.9488%,2.7661%,88.2334%,1.8689%
10107,17DEC2020,252,0.0638%,-0.0001,1.2394,-0.2761,-0.4924,0.0245,0.9513%,2.7660%,88.1714%,-1.0922%
10107,18DEC2020,252,-0.3783%,-0.0001,1.2391,-0.2771,-0.4902,0.0251,0.9526%,2.7659%,88.1373%,-0.8172%
10107,21DEC2020,252,1.8299%,-0.0000,1.2370,-0.2747,-0.4776,0.0356,0.9617%,2.7673%,87.9231%,2.1002%
10107,22DEC2020,252,0.6065%,0.0000,1.2371,-0.2744,-0.4785,0.0350,0.9616%,2.7674%,87.9262%,0.0255%
10107,23DEC2020,252,-1.3039%,-0.0000,1.2374,-0.2745,-0.4801,0.0345,0.9617%,2.7689%,87.9357%,-0.2856%
10107,24DEC2020,252,0.7827%,-0.0000,1.2374,-0.2750,-0.4800,0.0346,0.9620%,2.7689%,87.9303%,0.3222%
10107,28DEC2020,252,0.9921%,0.0000,1.2375,-0.2766,-0.4797,0.0344,0.9623%,2.7694%,87.9266%,0.4016%
10107,29DEC2020,252,-0.3601%,-0.0000,1.2378,-0.2753,-0.4808,0.0339,0.9623%,2.7688%,87.9214%,-0.1612%
10107,30DEC2020,252,-1.1019%,-0.0000,1.2378,-0.2810,-0.4806,0.0335,0.9648%,2.7699%,87.8687%,-1.1256%
10107,31DEC2020,252,0.3338%,-0.0001,1.2376,-0.2785,-0.4815,0.0329,0.9646%,2.7680%,87.8565%,-0.1622%
14593,02JAN2014,252,-1.4064%,-0.0004,0.7718,0.4104,-0.4470,-0.7369,1.7113%,1.7900%,8.5969%,-0.5604%
14593,03JAN2014,252,-2.1966%,-0.0004,0.7827,0.3949,-0.4570,-0.7670,1.7141%,1.7936%,8.6727%,-2.1728%
14593,06JAN2014,252,0.5453%,-0.0003,0.7997,0.3866,-0.4045,-0.8074,1.7024%,1.7851%,9.0517%,1.0892%
14593,07JAN2014,252,-0.7156%,-0.0003,0.7952,0.3796,-0.3895,-0.8124,1.7037%,1.7853%,8.9266%,-1.1441%
14593,08JAN2014,252,0.6338%,-0.0003,0.8035,0.3758,-0.4004,-0.8251,1.7035%,1.7856%,8.9825%,1.0791%
14593,09JAN2014,252,-1.2772%,-0.0003,0.8163,0.3820,-0.4264,-0.8495,1.6997%,1.7847%,9.2985%,-0.9093%
14593,10JAN2014,252,-0.6671%,-0.0004,0.7974,0.3849,-0.3838,-0.8215,1.7012%,1.7836%,9.0286%,-1.5742%
14593,13JAN2014,252,0.5235%,-0.0003,0.7856,0.3918,-0.3926,-0.8328,1.7019%,1.7834%,8.9343%,1.2016%
14593,14JAN2014,252,1.9898%,-0.0001,0.8022,0.3904,-0.4300,-0.8561,1.6875%,1.7730%,9.4097%,1.3723%
14593,15JAN2014,252,2.0077%,0.0001,0.8213,0.4165,-0.4327,-0.9111,1.6735%,1.7655%,10.1475%,1.3251%
14593,16JAN2014,252,-0.5580%,-0.0001,0.8349,0.4412,-0.4560,-0.9422,1.6495%,1.7471%,10.8622%,-0.9866%
14593,17JAN2014,252,-2.4502%,-0.0001,0.8583,0.4485,-0.4778,-0.9698,1.6517%,1.7536%,11.2824%,-2.1241%
14593,21JAN2014,252,1.5536%,-0.0001,0.8611,0.4595,-0.4824,-0.9754,1.6524%,1.7558%,11.4308%,1.0418%
14593,22JAN2014,252,0.4444%,-0.0001,0.8568,0.4622,-0.4828,-0.9666,1.6525%,1.7550%,11.3409%,0.5807%
14593,23JAN2014,252,0.8468%,-0.0001,0.8529,0.4884,-0.4866,-0.9860,1.6480%,1.7522%,11.5396%,0.7318%
14593,24JAN2014,252,-1.8178%,0.0004,0.9561,0.5990,-0.5407,-1.3293,1.4087%,1.5712%,19.6192%,-0.6480%
14593,27JAN2014,252,0.8112%,0.0005,0.9903,0.5449,-0.5877,-1.3814,1.3957%,1.5641%,20.3744%,1.4156%
