PERMNO,DATE,n,RET,vwretd,swbeta,swalpha,ivol,tvol,R2
93436,22MAR2019,252,-3.46%,-2.04%,0.96,-0.00,3.69%,3.80%,5.71%
93436,25MAR2019,252,-1.55%,-0.03%,0.97,-0.00,3.69%,3.79%,5.57%
93436,26MAR2019,252,2.82%,0.77%,0.96,-0.00,3.69%,3.80%,5.43%
93436,27MAR2019,252,2.64%,-0.47%,0.97,-0.00,3.69%,3.80%,5.51%
93436,28MAR2019,252,1.38%,0.41%,0.98,-0.00,3.65%,3.76%,5.81%
93436,29MAR2019,252,0.45%,0.60%,0.95,-0.00,3.62%,3.73%,5.64%
93436,01APR2019,252,3.33%,1.12%,0.98,-0.00,3.61%,3.73%,6.06%
93436,02APR2019,252,-1.14%,-0.01%,0.98,-0.00,3.60%,3.71%,6.07%
93436,03APR2019,252,2.07%,0.25%,0.98,-0.00,3.58%,3.70%,6.20%
93436,04APR2019,252,-8.23%,0.19%,0.87,-0.00,3.62%,3.71%,4.76%
93436,05APR2019,252,2.68%,0.51%,0.89,-0.00,3.60%,3.69%,5.01%
93436,08APR2019,252,-0.64%,0.10%,0.89,-0.00,3.60%,3.69%,4.95%
93436,09APR2019,252,-0.33%,-0.63%,0.88,-0.00,3.59%,3.69%,4.93%
93436,10APR2019,252,1.38%,0.48%,0.86,-0.00,3.59%,3.67%,4.62%
93436,11APR2019,252,-2.77%,-0.01%,0.85,-0.00,3.59%,3.68%,4.57%
93436,12APR2019,252,-0.27%,0.64%,0.85,-0.00,3.59%,3.67%,4.55%
93436,15APR2019,252,-0.49%,-0.10%,0.83,-0.00,3.59%,3.67%,4.42%
93436,16APR2019,252,2.62%,0.07%,0.85,-0.00,3.58%,3.67%,4.60%
93436,17APR2019,252,-0.78%,-0.31%,0.87,-0.00,3.58%,3.67%,4.76%
93436,18APR2019,252,0.75%,0.11%,0.87,-0.00,3.58%,3.67%,4.70%
93436,22APR2019,252,-3.85%,0.06%,0.86,-0.00,3.59%,3.67%,4.66%
93436,23APR2019,252,0.44%,0.89%,0.85,-0.00,3.58%,3.67%,4.47%
93436,24APR2019,252,-1.99%,-0.21%,0.82,-0.00,3.59%,3.67%,4.20%
93436,25APR2019,252,-4.26%,-0.15%,0.82,-0.00,3.60%,3.68%,4.20%
93436,26APR2019,252,-5.04%,0.54%,0.81,-0.00,3.61%,3.69%,4.05%
93436,29APR2019,252,2.69%,0.15%,0.82,-0.00,3.62%,3.69%,4.06%
93436,30APR2019,252,-1.15%,0.04%,0.82,-0.00,3.61%,3.69%,4.09%
93436,01MAY2019,252,-1.96%,-0.76%,0.82,-0.00,3.61%,3.69%,4.17%
93436,02MAY2019,252,4.31%,-0.17%,0.84,-0.00,3.62%,3.70%,4.28%
93436,03MAY2019,252,4.48%,1.09%,0.85,-0.00,3.63%,3.71%,4.37%
93436,06MAY2019,252,0.12%,-0.38%,0.85,-0.00,3.61%,3.69%,4.47%
93436,07MAY2019,252,-3.24%,-1.61%,0.86,-0.00,3.60%,3.69%,4.57%
93436,08MAY2019,252,-0.90%,-0.16%,0.84,-0.00,3.60%,3.69%,4.42%
93436,09MAY2019,252,-1.17%,-0.28%,0.85,-0.00,3.60%,3.69%,4.44%
93436,10MAY2019,252,-1.02%,0.41%,0.85,-0.00,3.60%,3.69%,4.45%
93436,13MAY2019,252,-5.22%,-2.45%,0.88,-0.00,3.61%,3.70%,4.75%
93436,14MAY2019,252,2.33%,0.90%,0.88,-0.00,3.61%,3.70%,4.69%
93436,15MAY2019,252,-0.15%,0.57%,0.87,-0.00,3.61%,3.70%,4.62%
93436,16MAY2019,252,-1.56%,0.85%,0.86,-0.00,3.61%,3.70%,4.55%
93436,17MAY2019,252,-7.58%,-0.68%,0.88,-0.00,3.64%,3.73%,4.68%
